insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
TRICARE EAST (DOS 1/1/2025 and after),23,23,1.0,4320.0,187.83
WELLCARE HEALTH PLAN,22,22,1.0,4075.0,185.23
UMR FKA UMR WAUSAU,16,16,1.0,2880.0,180.0
CAROLINA COMPLETE HEALTH CARE,16,16,1.0,2950.0,184.38
MANHATTANLIFE INSURANCE & ANNUITY COMPANY,16,18,1.13,3835.0,239.69
TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,13,13,1.0,2720.0,209.23
STANDARD LIFE AND ACCIDENT INS CO-SECONDARY CLAIMS,11,11,1.0,2075.0,188.64
OHIO BLUE SHIELD,11,11,1.0,1765.0,160.45
UMWA HEALTH AND RETIREMENT FUNDS,11,12,1.09,2415.0,219.55
GEORGIA BLUE SHIELD,10,10,1.0,2310.0,231.0
ANTHEM HEALTHKEEPERS PLUS,10,10,1.0,1785.0,178.5
UNRECOGNIZED INSURANCE,10,10,1.0,1875.0,187.5
NATIONAL ASSOCIATION OF LETTER CARRIERS,10,11,1.1,1880.01,188.0
DEN-PIPELINE INDUSTRY BENEFIT FUND,9,11,1.22,1620.02,180.0
MICHIGAN BLUE SHIELD,9,10,1.11,1980.0,220.0
"CHCS SERVICES, INC.",9,9,1.0,1910.0,212.22
HEALTHKEEPERS INC.,9,9,1.0,1790.0,198.89
GLOBE LIFE INSURANCE CO OF NEW YORK,8,8,1.0,1505.0,188.13
GREEK CATHOLIC UNION,8,8,1.0,1530.0,191.25
GREAT SOUTHERN LIFE (MEDICARE SUPP),8,8,1.0,1390.0,173.75
GHI (GROUP HEALTH INC.),8,8,1.0,1385.0,173.13
SAMBA,8,8,1.0,1790.0,223.75
ALIGNMENT HEALTH CARE,8,8,1.0,1345.0,168.13
AMERICAN REPUBLIC INSURANCE (MAP),7,7,1.0,1070.0,152.86
INDIANA BLUE SHIELD,7,7,1.0,1380.0,197.14
HORIZON BLUE SHIELD OF NEW JERSEY,7,7,1.0,1250.0,178.57
"WELLCARE NORTH CAROLINA, INC",6,6,1.0,1280.0,213.33
BLUE CROSS BLUE SHIELD OF MASSACHUSETTS,6,6,1.0,975.0,162.5
DEVOTED HEALTH,6,6,1.0,1065.0,177.5
HEALTH CARE SERVICE CORPORATION DBA BCBS OF IL,6,6,1.0,1295.0,215.83
NEW YORK BLUE SHIELD  CENTRAL REGION,5,5,1.0,1155.0,231.0
CIGNA HEALTHSPRING,5,5,1.0,925.0,185.0
EAST CAROLINA BEHAVIORAL HEALTH,5,5,1.0,875.0,175.0
APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,5,5,1.0,880.0,176.0
BANKERS LIFE AND CASUALTY,4,4,1.0,810.0,202.5
NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),4,6,1.5,970.02,242.51
TENNCARE SELECT,4,4,1.0,825.0,206.25
SEAFARERS & HEALTH BENEFITS PLAN,4,4,1.0,695.0,173.75
CLEAR SPRING HEALTH,4,4,1.0,695.0,173.75
UNIFIED LIFE INSURANCE COMPANY,4,4,1.0,695.0,173.75
AMERIGROUP/WELLPOINT,3,3,1.0,550.0,183.33
EVERENCE,3,3,1.0,580.0,193.33
CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,3,3,1.0,595.0,198.33
UB-BANKERS LIFE AND CASUALTY,3,3,1.0,510.0,170.0
WELLMED,3,3,1.0,780.0,260.0
AMERICO FINANCIAL LIFE & ANNUITY INSURANCE COMPANY,3,3,1.0,510.0,170.0
FLORIDA MEDICAID,3,3,1.0,555.0,185.0
PIPELINE INDUSTRY BENEFIT FUND - PAPER,2,2,1.0,445.0,222.5
ALIGN SENIOR CARE OF VIRGINIA,2,2,1.0,280.0,140.0
TRICARE - WEST REGION,2,2,1.0,370.0,185.0
TRILLIUM COMMUNITY HEALTH PLAN,2,2,1.0,370.0,185.0
TRUSTMARK HEALTH BENEFITS (CORESOURCE) - ECHO,2,2,1.0,610.0,305.0
ARKANSAS BLUE SHIELD,2,2,1.0,600.0,300.0
LONGEVITY HEALTH PLAN OF NORTH CAROLINA,2,2,1.0,325.0,162.5
AMERIGROUP CORPORATION,1,1,1.0,140.0,140.0
IOWA BLUE SHIELD,1,1,1.0,255.0,255.0
FLORIDA BLUE SHIELD,1,1,1.0,270.0,270.0
NEW HAMPSHIRE HEALTHY FAMILIES,1,1,1.0,185.0,185.0
AMA INSURANCE,1,1,1.0,255.0,255.0
CALIFORNIA BLUE SHIELD,1,1,1.0,185.0,185.0
TENNESSEE BLUE SHIELD,1,1,1.0,170.0,170.0
BCBS OF WESTERN NEW YORK MEDICAID / CHP,1,1,1.0,355.0,355.0
MCS ADVANTAGE INC - PAPER,1,1,1.0,355.0,355.0
ARKANSAS MEDICAID,1,1,1.0,185.0,185.0
INDIANA MEDICAID,1,1,1.0,270.0,270.0
PRINCIPAL LIFE MEDICARE SUPPLEMENT,1,1,1.0,185.0,185.0
COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,185.0,185.0
BANKERS FIDELITY,1,1,1.0,355.0,355.0
UNITEDHEALTHCARE COMMUNITY PLAN RIVER VALLEY,1,1,1.0,90.0,90.0
