code,claim_insurance_type,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99308,BLUE_CROSS_BLUE_SHIELD,820,830,1.01,116200.0,141.71
99310,BLUE_CROSS_BLUE_SHIELD,252,261,1.04,70470.0,279.64
99306,BLUE_CROSS_BLUE_SHIELD,186,191,1.03,63030.0,338.87
99316,BLUE_CROSS_BLUE_SHIELD,91,95,1.04,19950.0,219.23
99349,BLUE_CROSS_BLUE_SHIELD,41,41,1.0,10455.0,255.0
99305,BLUE_CROSS_BLUE_SHIELD,30,30,1.0,7800.0,260.0
99497,BLUE_CROSS_BLUE_SHIELD,26,26,1.0,4290.0,165.0
99315,BLUE_CROSS_BLUE_SHIELD,19,20,1.05,2900.0,152.63
99307,BLUE_CROSS_BLUE_SHIELD,15,15,1.0,1350.0,90.0
99350,BLUE_CROSS_BLUE_SHIELD,13,13,1.0,4615.0,355.0
99348,BLUE_CROSS_BLUE_SHIELD,10,10,1.0,1700.0,170.0
G8510,BLUE_CROSS_BLUE_SHIELD,7,7,1.0,0.07,0.01
G0444,BLUE_CROSS_BLUE_SHIELD,7,7,1.0,245.0,35.0
G8754,BLUE_CROSS_BLUE_SHIELD,6,6,1.0,0.06,0.01
G8752,BLUE_CROSS_BLUE_SHIELD,6,6,1.0,0.06,0.01
69209,BLUE_CROSS_BLUE_SHIELD,3,3,1.0,90.0,30.0
99406,BLUE_CROSS_BLUE_SHIELD,2,2,1.0,70.0,35.0
G8755,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
3044F,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
93793,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,25.0,25.0
99304,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,180.0,180.0
G8433,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
3051F,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
G8753,BLUE_CROSS_BLUE_SHIELD,1,1,1.0,0.01,0.01
99309,MEDICARE,5171,5171,1.0,956635.0,185.0
99308,MEDICARE,1679,1679,1.0,235060.0,140.0
99310,MEDICARE,544,544,1.0,146880.0,270.0
99306,MEDICARE,300,300,1.0,99000.0,330.0
99316,MEDICARE,157,157,1.0,32970.0,210.0
99349,MEDICARE,108,108,1.0,27540.0,255.0
99305,MEDICARE,74,74,1.0,19240.0,260.0
99497,MEDICARE,65,65,1.0,10725.0,165.0
99315,MEDICARE,41,41,1.0,5945.0,145.0
99307,MEDICARE,39,39,1.0,3510.0,90.0
99348,MEDICARE,31,31,1.0,5270.0,170.0
99350,MEDICARE,30,30,1.0,10650.0,355.0
G8510,MEDICARE,15,15,1.0,0.15,0.01
G8754,MEDICARE,7,7,1.0,0.07,0.01
90471,MEDICARE,7,7,1.0,245.0,35.0
G8752,MEDICARE,7,7,1.0,0.07,0.01
3044F,MEDICARE,4,4,1.0,0.04,0.01
69209,MEDICARE,4,4,1.0,120.0,30.0
G0444,MEDICARE,4,4,1.0,140.0,35.0
G8433,MEDICARE,4,4,1.0,0.04,0.01
G8431,MEDICARE,2,2,1.0,80.0,40.0
3014F,MEDICARE,1,1,1.0,0.01,0.01
99407,MEDICARE,1,1,1.0,60.0,60.0
G0317,MEDICARE,1,1,1.0,65.0,65.0
93793,MEDICARE,1,1,1.0,25.0,25.0
G8753,MEDICARE,1,1,1.0,0.01,0.01
G8755,MEDICARE,1,1,1.0,0.01,0.01
99309,TRICARE_CHAMPUS,67,67,1.0,12395.0,185.0
99308,TRICARE_CHAMPUS,18,18,1.0,2520.0,140.0
99310,TRICARE_CHAMPUS,6,6,1.0,1620.0,270.0
99316,TRICARE_CHAMPUS,3,3,1.0,630.0,210.0
99306,TRICARE_CHAMPUS,3,3,1.0,990.0,330.0
99309,WORKERS_COMPENSATION,34,34,1.0,6290.0,185.0
99308,WORKERS_COMPENSATION,6,6,1.0,840.0,140.0
99310,WORKERS_COMPENSATION,6,6,1.0,1620.0,270.0
99349,WORKERS_COMPENSATION,3,3,1.0,765.0,255.0
99306,WORKERS_COMPENSATION,2,2,1.0,660.0,330.0
99350,WORKERS_COMPENSATION,1,1,1.0,355.0,355.0
G0444,WORKERS_COMPENSATION,1,1,1.0,35.0,35.0
G8510,WORKERS_COMPENSATION,1,1,1.0,0.01,0.01
99315,WORKERS_COMPENSATION,1,1,1.0,145.0,145.0
99309,SELF_PAY,9,9,1.0,1665.0,185.0
99310,SELF_PAY,2,2,1.0,540.0,270.0
