facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
Clayton Rehab and Healthcare Center,MEDICARE,31425.0,152,153,1.01,206.74
CONSULATE HEALTH CARE OF WOODSTOCK,COMMERCIAL_HMO,49425.07,183,253,1.38,270.08
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICAID,5280.02,28,30,1.07,188.57
CONSULATE HEALTH CARE OF WOODSTOCK,BLUE_CROSS_BLUE_SHIELD,6685.08,32,40,1.25,208.91
CONSULATE HEALTH CARE OF WOODSTOCK,MEDICARE,21150.07,107,114,1.07,197.66
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,41290.0,207,223,1.08,199.47
COURTLAND REHAB AND HEALTHCARE,MEDICAID,13270.0,74,75,1.01,179.32
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,13215.0,69,71,1.03,191.52
COURTLAND REHAB AND HEALTHCARE,MEDICARE,40600.0,222,226,1.02,182.88
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,52380.0,222,277,1.25,235.95
DEER MEADOWS REHABILITATION,MEDICAID,11805.0,60,60,1.0,196.75
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,7410.0,38,38,1.0,195.0
DEER MEADOWS REHABILITATION,MEDICARE,26370.0,139,139,1.0,189.71
DEER MEADOWS REHABILITATION,TRICARE_CHAMPUS,580.0,3,3,1.0,193.33
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,77755.0,368,388,1.05,211.29
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,18235.0,92,95,1.03,198.21
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,22715.0,95,111,1.17,239.11
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,79410.0,380,401,1.06,208.97
ELIZABETH CITY HEALTH AND REHAB,TRICARE_CHAMPUS,950.0,5,5,1.0,190.0
ELIZABETH CITY HEALTH AND REHAB,SELF_PAY,2205.0,11,11,1.0,200.45
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,28860.0,143,156,1.09,201.82
EMPORIA REHAB AND HEALTHCARE,MEDICAID,6235.0,33,33,1.0,188.94
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,8810.0,49,49,1.0,179.8
EMPORIA REHAB AND HEALTHCARE,MEDICARE,18175.0,99,99,1.0,183.59
GATES-ALF,COMMERCIAL_HMO,170.0,1,1,1.0,170.0
GATES-ALF,MEDICAID,170.0,1,1,1.0,170.0
GATES HEALTH AND REHAB,COMMERCIAL_HMO,6955.0,36,36,1.0,193.19
GATES HEALTH AND REHAB,MEDICAID,2205.0,11,11,1.0,200.45
GATES HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,725.0,3,3,1.0,241.67
GATES HEALTH AND REHAB,MEDICARE,2205.0,11,11,1.0,200.45
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,5275.0,28,33,1.18,188.39
GUGGENHEIMER HEALTH AND REHAB,MEDICAID,650.0,4,4,1.0,162.5
GUGGENHEIMER HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,1400.0,8,8,1.0,175.0
GUGGENHEIMER HEALTH AND REHAB,MEDICARE,1820.0,11,11,1.0,165.45
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,98700.0,514,515,1.0,192.02
GUILFORD HEALTH CARE CENTER,MEDICAID,19480.0,109,109,1.0,178.72
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,10270.0,52,52,1.0,197.5
GUILFORD HEALTH CARE CENTER,MEDICARE,28965.0,159,159,1.0,182.17
GUILFORD HEALTH CARE CENTER,TRICARE_CHAMPUS,2260.0,11,11,1.0,205.45
GUILFORD HEALTH CARE CENTER,WORKERS_COMPENSATION,4005.0,21,21,1.0,190.71
HARMONY PARK AT WILSON,COMMERCIAL_HMO,43695.0,251,252,1.0,174.08
HARMONY PARK AT WILSON,MEDICAID,19095.0,109,109,1.0,175.18
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,2220.0,13,13,1.0,170.77
HARMONY PARK AT WILSON,MEDICARE,12210.0,69,69,1.0,176.96
HARMONY PARK AT WILSON,TRICARE_CHAMPUS,185.0,1,1,1.0,185.0
HERITAGE GREEN,COMMERCIAL_HMO,12005.0,54,55,1.02,222.31
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,4590.0,20,20,1.0,229.5
HERITAGE GREEN,MEDICARE,12755.0,57,58,1.02,223.77
HERITAGE GREEN,WORKERS_COMPENSATION,765.0,3,3,1.0,255.0
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,28480.0,152,152,1.0,187.37
HERTFORD REHABILITATION AND HC,MEDICAID,9845.0,53,53,1.0,185.75
HERTFORD REHABILITATION AND HC,BLUE_CROSS_BLUE_SHIELD,1650.0,8,8,1.0,206.25
HERTFORD REHABILITATION AND HC,MEDICARE,7185.0,37,37,1.0,194.19
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,90670.0,424,510,1.2,213.84
HIGHLAND RIDGE REHAB,MEDICAID,4925.0,30,30,1.0,164.17
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,33715.0,178,186,1.04,189.41
HIGHLAND RIDGE REHAB,MEDICARE,42590.0,232,232,1.0,183.58
HIGHLAND RIDGE REHAB,TRICARE_CHAMPUS,185.0,1,1,1.0,185.0
HOLLY MANOR,COMMERCIAL_HMO,94285.0,369,467,1.27,255.51
HOLLY MANOR,MEDICAID,7385.0,36,36,1.0,205.14
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,28745.0,140,141,1.01,205.32
HOLLY MANOR,MEDICARE,55600.0,278,278,1.0,200.0
HOLLY MANOR,TRICARE_CHAMPUS,1010.0,5,5,1.0,202.0
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,28300.0,174,176,1.01,162.64
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,14870.0,91,91,1.0,163.41
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,1660.0,9,9,1.0,184.44
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,14705.0,92,92,1.0,159.84
LAUREL PARK REHAB,COMMERCIAL_HMO,17135.0,91,92,1.01,188.3
LAUREL PARK REHAB,MEDICAID,22990.0,133,133,1.0,172.86
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,5640.0,31,33,1.06,181.94
LAUREL PARK REHAB,MEDICARE,25845.0,148,148,1.0,174.63
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,97725.0,499,500,1.0,195.84
LEXINGTON HEALTH CARE CENTER,MEDICAID,19490.0,101,101,1.0,192.97
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,23165.0,112,116,1.04,206.83
LEXINGTON HEALTH CARE CENTER,MEDICARE,37150.0,192,192,1.0,193.49
LEXINGTON HEALTH CARE CENTER,TRICARE_CHAMPUS,1055.0,4,4,1.0,263.75
LEXINGTON HEALTH CARE CENTER,WORKERS_COMPENSATION,555.0,3,3,1.0,185.0
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,88190.36,430,490,1.14,205.09
LIFE CARE CENTER OF NEW MARKET,MEDICAID,9630.02,51,53,1.04,188.82
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,34530.16,165,190,1.15,209.27
LIFE CARE CENTER OF NEW MARKET,MEDICARE,86145.31,435,470,1.08,198.04
LIFE CARE CENTER OF NEW MARKET,TRICARE_CHAMPUS,395.0,2,2,1.0,197.5
LIFE CARE CENTER OF NEW MARKET,WORKERS_COMPENSATION,2265.01,11,12,1.09,205.91
MOUNTAIN LAUREL,COMMERCIAL_HMO,62995.0,279,350,1.25,225.79
MOUNTAIN LAUREL,MEDICAID,4455.0,24,24,1.0,185.63
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,10020.0,58,58,1.0,172.76
MOUNTAIN LAUREL,MEDICARE,16900.0,94,94,1.0,179.79
NORTHERN NECK-ALF,COMMERCIAL_HMO,2595.0,9,11,1.22,288.33
NORTHERN NECK-ALF,BLUE_CROSS_BLUE_SHIELD,1035.0,4,4,1.0,258.75
NORTHERN NECK-ALF,MEDICARE,1035.0,4,4,1.0,258.75
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,27030.0,118,127,1.08,229.07
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICAID,2865.0,13,13,1.0,220.38
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,24010.0,118,118,1.0,203.47
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,35385.0,178,178,1.0,198.79
NORTHERN NECK SENIOR CARE COMMUNITY,TRICARE_CHAMPUS,2035.0,11,11,1.0,185.0
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,8460.0,35,46,1.31,241.71
NOVA HEALTH AND REHAB CENTER,MEDICAID,185.0,1,1,1.0,185.0
NOVA HEALTH AND REHAB CENTER,MEDICARE,185.0,1,1,1.0,185.0
OAKWOOD MANOR,COMMERCIAL_HMO,60800.0,293,336,1.15,207.51
OAKWOOD MANOR,MEDICAID,1505.0,8,8,1.0,188.13
OAKWOOD MANOR,BLUE_CROSS_BLUE_SHIELD,16305.0,86,86,1.0,189.59
OAKWOOD MANOR,MEDICARE,39935.0,220,220,1.0,181.52
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,39240.0,186,193,1.04,210.97
PEAK RESOURCES OUTER BANKS,MEDICAID,9805.0,47,49,1.04,208.62
PEAK RESOURCES OUTER BANKS,BLUE_CROSS_BLUE_SHIELD,18830.0,90,94,1.04,209.22
PEAK RESOURCES OUTER BANKS,MEDICARE,50240.0,239,249,1.04,210.21
Piedmont Health and Rehab,COMMERCIAL_HMO,12935.0,63,64,1.02,205.32
Piedmont Health and Rehab,MEDICAID,1480.0,8,8,1.0,185.0
Piedmont Health and Rehab,BLUE_CROSS_BLUE_SHIELD,1210.0,6,6,1.0,201.67
Piedmont Health and Rehab,MEDICARE,6020.0,30,30,1.0,200.67
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,92155.0,401,502,1.25,229.81
PINEY FOREST HEALTH AND REHAB,MEDICAID,8435.0,45,46,1.02,187.44
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,13140.0,67,69,1.03,196.12
PINEY FOREST HEALTH AND REHAB,MEDICARE,22705.0,121,125,1.03,187.64
PULASKI HEALTH & REHAB,COMMERCIAL_HMO,97825.0,485,537,1.11,201.7
PULASKI HEALTH & REHAB,MEDICAID,5400.0,27,28,1.04,200.0
PULASKI HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,43280.0,226,232,1.03,191.5
PULASKI HEALTH & REHAB,MEDICARE,77620.0,420,425,1.01,184.81
PULASKI HEALTH & REHAB,TRICARE_CHAMPUS,1300.0,8,8,1.0,162.5
RADFORD HEALTH & REHAB,COMMERCIAL_HMO,58140.0,295,330,1.12,197.08
RADFORD HEALTH & REHAB,MEDICAID,2530.0,15,15,1.0,168.67
RADFORD HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,38970.0,220,220,1.0,177.14
RADFORD HEALTH & REHAB,MEDICARE,55405.0,313,313,1.0,177.01
RADFORD HEALTH & REHAB,TRICARE_CHAMPUS,4455.0,25,25,1.0,178.2
RIDGECREST MANOR NURSING AND REHAB,COMMERCIAL_HMO,95260.0,536,575,1.07,177.72
RIDGECREST MANOR NURSING AND REHAB,MEDICAID,8150.0,47,47,1.0,173.4
RIDGECREST MANOR NURSING AND REHAB,BLUE_CROSS_BLUE_SHIELD,3190.0,18,18,1.0,177.22
RIDGECREST MANOR NURSING AND REHAB,MEDICARE,18235.0,106,106,1.0,172.03
RIVERSIDE HEALTH AND REHAB,COMMERCIAL_HMO,89020.0,430,487,1.13,207.02
RIVERSIDE HEALTH AND REHAB,MEDICAID,6095.0,33,33,1.0,184.7
RIVERSIDE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,25360.0,137,137,1.0,185.11
RIVERSIDE HEALTH AND REHAB,MEDICARE,39090.0,214,214,1.0,182.66
RIVERSIDE HEALTH AND REHAB,WORKERS_COMPENSATION,780.0,4,4,1.0,195.0
RUNK AND PRATT AT WILLOW RIDGE,COMMERCIAL_HMO,2000.0,7,7,1.0,285.71
RUNK AND PRATT AT WILLOW RIDGE,BLUE_CROSS_BLUE_SHIELD,1375.0,5,5,1.0,275.0
RUNK AND PRATT AT WILLOW RIDGE,MEDICARE,2155.0,8,8,1.0,269.38
RUNK & PRATT- FOREST,COMMERCIAL_HMO,7170.0,31,34,1.1,231.29
RUNK & PRATT- FOREST,BLUE_CROSS_BLUE_SHIELD,850.0,4,4,1.0,212.5
RUNK & PRATT- FOREST,MEDICARE,4690.0,22,23,1.05,213.18
RUNK & PRATT-LEESVILLE,COMMERCIAL_HMO,2000.0,7,7,1.0,285.71
RUNK & PRATT-LEESVILLE,MEDICARE,1490.0,5,5,1.0,298.0
RUNK & PRATT- LIBERTY RIDGE,COMMERCIAL_HMO,5475.0,19,19,1.0,288.16
RUNK & PRATT- LIBERTY RIDGE,BLUE_CROSS_BLUE_SHIELD,1860.0,7,7,1.0,265.71
RUNK & PRATT- LIBERTY RIDGE,MEDICARE,5250.0,19,19,1.0,276.32
RUNK & PRATT- PEARL OF LIFE,COMMERCIAL_HMO,5745.0,23,23,1.0,249.78
RUNK & PRATT- PEARL OF LIFE,BLUE_CROSS_BLUE_SHIELD,1630.0,7,7,1.0,232.86
RUNK & PRATT- PEARL OF LIFE,MEDICARE,6765.0,28,28,1.0,241.61
RUNK & PRATT- PEARL OF LIFE,WORKERS_COMPENSATION,355.0,1,1,1.0,355.0
RUNK & PRATT- SMITH MOUNTAIN LAKE,COMMERCIAL_HMO,9115.0,34,34,1.0,268.09
RUNK & PRATT- SMITH MOUNTAIN LAKE,BLUE_CROSS_BLUE_SHIELD,5515.0,20,20,1.0,275.75
RUNK & PRATT- SMITH MOUNTAIN LAKE,MEDICARE,9710.0,36,36,1.0,269.72
SALEM HEALTH & REHAB,COMMERCIAL_HMO,131670.0,598,726,1.21,220.18
SALEM HEALTH & REHAB,MEDICAID,15075.0,81,81,1.0,186.11
SALEM HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,36770.0,189,191,1.01,194.55
SALEM HEALTH & REHAB,MEDICARE,61065.0,324,325,1.0,188.47
SHENANDOAH VALLEY HEALTH,COMMERCIAL_HMO,39210.0,174,215,1.24,225.34
SHENANDOAH VALLEY HEALTH,MEDICAID,1065.0,5,5,1.0,213.0
SHENANDOAH VALLEY HEALTH,BLUE_CROSS_BLUE_SHIELD,10605.0,58,59,1.02,182.84
SHENANDOAH VALLEY HEALTH,MEDICARE,12790.0,69,69,1.0,185.36
STANLEYTOWN HEALTH AND REHAB,COMMERCIAL_HMO,125330.0,500,663,1.33,250.66
STANLEYTOWN HEALTH AND REHAB,MEDICAID,5955.0,29,31,1.07,205.34
STANLEYTOWN HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,39700.0,201,204,1.01,197.51
STANLEYTOWN HEALTH AND REHAB,MEDICARE,67365.0,336,345,1.03,200.49
STANLEYTOWN HEALTH AND REHAB,TRICARE_CHAMPUS,2735.0,16,16,1.0,170.94
SUMMIT HEALTH AND REHAB,COMMERCIAL_HMO,187710.0,922,1006,1.09,203.59
SUMMIT HEALTH AND REHAB,MEDICAID,11125.0,60,60,1.0,185.42
SUMMIT HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,74525.0,365,393,1.08,204.18
SUMMIT HEALTH AND REHAB,MEDICARE,148625.0,788,788,1.0,188.61
THREE RIVERS HEALTH & REHAB CENTER,COMMERCIAL_HMO,17155.0,80,85,1.06,214.44
THREE RIVERS HEALTH & REHAB CENTER,MEDICAID,1240.0,5,5,1.0,248.0
THREE RIVERS HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,15845.0,77,77,1.0,205.78
THREE RIVERS HEALTH & REHAB CENTER,MEDICARE,27205.0,135,135,1.0,201.52
VALLEY HEALTH CARE CENTER,COMMERCIAL_HMO,92975.0,411,492,1.2,226.22
VALLEY HEALTH CARE CENTER,MEDICAID,5885.0,33,33,1.0,178.33
VALLEY HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,10490.0,57,58,1.02,184.04
VALLEY HEALTH CARE CENTER,MEDICARE,36365.0,196,196,1.0,185.54
WATERVIEW HEALTH & REHAB CENTER,COMMERCIAL_HMO,74510.0,334,423,1.27,223.08
WATERVIEW HEALTH & REHAB CENTER,MEDICAID,6065.0,35,35,1.0,173.29
WATERVIEW HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,20930.0,117,117,1.0,178.89
WATERVIEW HEALTH & REHAB CENTER,MEDICARE,28600.0,166,166,1.0,172.29
WAVERLY REHABILITATION,COMMERCIAL_HMO,23195.0,118,121,1.03,196.57
WAVERLY REHABILITATION,MEDICAID,6150.0,38,38,1.0,161.84
WAVERLY REHABILITATION,BLUE_CROSS_BLUE_SHIELD,14575.0,87,87,1.0,167.53
WAVERLY REHABILITATION,MEDICARE,18300.0,111,111,1.0,164.86
WESTMORELAND HEALTHCARE CENTER,COMMERCIAL_HMO,37790.0,215,218,1.01,175.77
WESTMORELAND HEALTHCARE CENTER,MEDICAID,5135.0,30,30,1.0,171.17
WESTMORELAND HEALTHCARE CENTER,BLUE_CROSS_BLUE_SHIELD,19260.0,115,115,1.0,167.48
WESTMORELAND HEALTHCARE CENTER,MEDICARE,50995.0,303,303,1.0,168.3
WILSON HEALTHCARE AND REHAB,COMMERCIAL_HMO,38440.0,214,214,1.0,179.63
WILSON HEALTHCARE AND REHAB,MEDICAID,7520.0,45,45,1.0,167.11
WILSON HEALTHCARE AND REHAB,BLUE_CROSS_BLUE_SHIELD,3465.0,20,20,1.0,173.25
WILSON HEALTHCARE AND REHAB,MEDICARE,14645.0,83,83,1.0,176.45
WINCHESTER HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,330.0,1,1,1.0,330.0
WINCHESTER HEALTH AND REHAB,MEDICARE,330.0,1,1,1.0,330.0
WINDSOR REHABILITATION,COMMERCIAL_HMO,24330.0,124,124,1.0,196.21
WINDSOR REHABILITATION,MEDICAID,32385.0,171,171,1.0,189.39
WINDSOR REHABILITATION,BLUE_CROSS_BLUE_SHIELD,2600.0,13,13,1.0,200.0
WINDSOR REHABILITATION,MEDICARE,28080.0,148,148,1.0,189.73
WOODLANDS HEALTH & REHAB,COMMERCIAL_HMO,21970.0,101,127,1.26,217.52
WOODLANDS HEALTH & REHAB,MEDICAID,1115.0,7,7,1.0,159.29
WOODLANDS HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,2925.0,17,18,1.06,172.06
WOODLANDS HEALTH & REHAB,MEDICARE,9295.0,55,55,1.0,169.0
