code,insurance_company,encounters_billed,units_billed,units_per_encounter,insurance_billed_amount,billed_per_encounter
99350,AETNA SSI,4,4,1.0,1420.0,355.0
99497,AETNA SSI,4,4,1.0,660.0,165.0
99348,AETNA SSI,3,3,1.0,510.0,170.0
99305,AETNA SSI,2,2,1.0,520.0,260.0
99316,AETNA SSI,1,1,1.0,210.0,210.0
99315,AETNA SSI,1,1,1.0,145.0,145.0
99309,ALIGNMENT HEALTH CARE,17,17,1.0,3145.0,185.0
99308,ALIGNMENT HEALTH CARE,6,6,1.0,840.0,140.0
99310,ALIGNMENT HEALTH CARE,3,3,1.0,810.0,270.0
99308,ALIGN SENIOR CARE OF VIRGINIA,2,2,1.0,280.0,140.0
99309,ALIGN SENIOR CARE OF VIRGINIA,1,1,1.0,185.0,185.0
99309,AMERICAN POSTAL WORKERS UNION,4,4,1.0,740.0,185.0
99310,AMERICAN POSTAL WORKERS UNION,1,1,1.0,270.0,270.0
99309,AMERICAN REPUBLIC INSURANCE (MAP),7,7,1.0,1295.0,185.0
99310,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,270.0,270.0
99306,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,330.0,330.0
99308,AMERICAN REPUBLIC INSURANCE (MAP),1,1,1.0,140.0,140.0
99309,AMERICAN RETIREMENT LIFE INS CO (MEDICARE SUPP),1,1,1.0,185.0,185.0
99309,AMERICO FINANCIAL LIFE & ANNUITY INSURANCE COMPANY,1,1,1.0,185.0,185.0
99308,AMERICO FINANCIAL LIFE & ANNUITY INSURANCE COMPANY,1,1,1.0,140.0,140.0
99308,AMERIGROUP CORPORATION,1,1,1.0,140.0,140.0
99309,AMERIGROUP/WELLPOINT,2,2,1.0,370.0,185.0
99308,AMERIGROUP/WELLPOINT,1,1,1.0,140.0,140.0
99309,AMERIHEALTH CARITAS NORTH CAROLINA,1,1,1.0,185.0,185.0
99309,ANTHEM BLUE CROSS,549,549,1.0,101565.0,185.0
99308,ANTHEM BLUE CROSS,214,214,1.0,29960.0,140.0
99310,ANTHEM BLUE CROSS,46,46,1.0,12420.0,270.0
99306,ANTHEM BLUE CROSS,34,34,1.0,11220.0,330.0
99316,ANTHEM BLUE CROSS,20,20,1.0,4200.0,210.0
99349,ANTHEM BLUE CROSS,17,17,1.0,4335.0,255.0
99315,ANTHEM BLUE CROSS,9,9,1.0,1305.0,145.0
99350,ANTHEM BLUE CROSS,7,7,1.0,2485.0,355.0
99305,ANTHEM BLUE CROSS,7,7,1.0,1820.0,260.0
99497,ANTHEM BLUE CROSS,6,6,1.0,990.0,165.0
99348,ANTHEM BLUE CROSS,5,5,1.0,850.0,170.0
G8510,ANTHEM BLUE CROSS,3,3,1.0,0.03,0.01
G0127,ANTHEM BLUE CROSS,1,1,1.0,50.0,50.0
99304,ANTHEM BLUE CROSS,1,1,1.0,180.0,180.0
G8433,ANTHEM BLUE CROSS,1,1,1.0,0.01,0.01
99309,ANTHEM HEALTHKEEPERS PLUS,18,18,1.0,3330.0,185.0
99308,ANTHEM HEALTHKEEPERS PLUS,2,2,1.0,280.0,140.0
99310,ANTHEM HEALTHKEEPERS PLUS,1,1,1.0,270.0,270.0
99309,APPALACHIAN AGENCY FOR SENIOR CITIZENS - PAPER,2,2,1.0,370.0,185.0
99309,ARKANSAS BLUE SHIELD,4,4,1.0,740.0,185.0
99349,BCBS OF WESTERN NEW YORK MEDICAID / CHP,1,1,1.0,255.0,255.0
99309,CALIFORNIA BLUE SHIELD,5,5,1.0,925.0,185.0
99348,CALIFORNIA BLUE SHIELD,2,2,1.0,340.0,170.0
99309,CAREFIRST ADMINISTRATORS / NCAS,17,17,1.0,3145.0,185.0
99308,CAREFIRST ADMINISTRATORS / NCAS,9,9,1.0,1260.0,140.0
99310,CAREFIRST ADMINISTRATORS / NCAS,2,2,1.0,540.0,270.0
99306,CAREFIRST ADMINISTRATORS / NCAS,1,1,1.0,330.0,330.0
99309,CARE IMPROVEMENT PLUS SOUTH CENTRAL INS. CO.,1,1,1.0,185.0,185.0
99309,CAREMORE HEALTH PLAN,1,1,1.0,185.0,185.0
99309,CAROLINA COMPLETE HEALTH CARE,6,6,1.0,1110.0,185.0
99308,CAROLINA COMPLETE HEALTH CARE,2,2,1.0,280.0,140.0
99316,CAROLINA COMPLETE HEALTH CARE,1,1,1.0,210.0,210.0
99309,CHAMPVA - HAC,34,34,1.0,6290.0,185.0
99308,CHAMPVA - HAC,10,10,1.0,1400.0,140.0
99310,CHAMPVA - HAC,5,5,1.0,1350.0,270.0
99306,CHAMPVA - HAC,4,4,1.0,1320.0,330.0
99316,CHAMPVA - HAC,3,3,1.0,630.0,210.0
99315,CHAMPVA - HAC,1,1,1.0,145.0,145.0
99497,CHAMPVA - HAC,1,1,1.0,165.0,165.0
G8510,CHAMPVA - HAC,1,1,1.0,0.01,0.01
99309,"CHCS SERVICES, INC.",15,15,1.0,2775.0,185.0
99308,"CHCS SERVICES, INC.",2,2,1.0,280.0,140.0
99309,CIGNA HEALTHSPRING,6,6,1.0,1110.0,185.0
99308,CIGNA HEALTHSPRING,2,2,1.0,280.0,140.0
99315,CIGNA HEALTHSPRING,1,1,1.0,145.0,145.0
99309,CIGNA PPO,17,17,1.0,3145.0,185.0
99310,CIGNA PPO,3,3,1.0,810.0,270.0
99349,CIGNA PPO,2,2,1.0,510.0,255.0
99308,CIGNA PPO,2,2,1.0,280.0,140.0
99306,CIGNA PPO,1,1,1.0,330.0,330.0
99497,CIGNA PPO,1,1,1.0,165.0,165.0
99305,CIGNA PPO,1,1,1.0,260.0,260.0
99309,CLEAR SPRING HEALTH,4,4,1.0,740.0,185.0
99310,CLEAR SPRING HEALTH,1,1,1.0,270.0,270.0
99308,CLEAR SPRING HEALTH,1,1,1.0,140.0,140.0
99309,COLONIAL PENN LIFE INSURANCE COMPANY,8,8,1.0,1480.0,185.0
99308,COLONIAL PENN LIFE INSURANCE COMPANY,3,3,1.0,420.0,140.0
99310,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,270.0,270.0
99306,COLONIAL PENN LIFE INSURANCE COMPANY,1,1,1.0,330.0,330.0
99309,DEN-PIPELINE INDUSTRY BENEFIT FUND,2,2,1.0,370.0,185.0
99308,DEN-PIPELINE INDUSTRY BENEFIT FUND,1,1,1.0,140.0,140.0
99309,DEVOTED HEALTH,7,7,1.0,1295.0,185.0
99306,DEVOTED HEALTH,1,1,1.0,330.0,330.0
99310,DEVOTED HEALTH,1,1,1.0,270.0,270.0
99308,EAST CAROLINA BEHAVIORAL HEALTH,1,1,1.0,140.0,140.0
99310,FLORIDA BLUE SHIELD,1,1,1.0,270.0,270.0
99308,FLORIDA BLUE SHIELD,1,1,1.0,140.0,140.0
99309,FLORIDA MEDICAID,4,4,1.0,740.0,185.0
99308,FLORIDA MEDICAID,2,2,1.0,280.0,140.0
99309,GENERIC PAYER (AUTO-FORWARDED),83,83,1.0,15355.0,185.0
99308,GENERIC PAYER (AUTO-FORWARDED),18,18,1.0,2520.0,140.0
99310,GENERIC PAYER (AUTO-FORWARDED),8,8,1.0,2160.0,270.0
99497,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,165.0,165.0
1034F,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,0.01,0.01
99305,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,260.0,260.0
G8752,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,0.01,0.01
99316,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,210.0,210.0
G8754,GENERIC PAYER (AUTO-FORWARDED),1,1,1.0,0.01,0.01
99309,GEORGIA BLUE SHIELD,14,14,1.0,2590.0,185.0
99309,GHI (GROUP HEALTH INC.),10,10,1.0,1850.0,185.0
99308,GHI (GROUP HEALTH INC.),3,3,1.0,420.0,140.0
99306,GHI (GROUP HEALTH INC.),1,1,1.0,330.0,330.0
99310,GHI (GROUP HEALTH INC.),1,1,1.0,270.0,270.0
99309,GREAT SOUTHERN LIFE (MEDICARE SUPP),1,1,1.0,185.0,185.0
99497,HEALTHKEEPERS INC.,1,1,1.0,165.0,165.0
99309,HEALTHKEEPERS INC.,1,1,1.0,185.0,185.0
99309,HEALTHTEAM ADVANTAGE,32,32,1.0,5920.0,185.0
99308,HEALTHTEAM ADVANTAGE,9,9,1.0,1260.0,140.0
99310,HEALTHTEAM ADVANTAGE,6,6,1.0,1620.0,270.0
99306,HEALTHTEAM ADVANTAGE,3,3,1.0,990.0,330.0
99309,HEALTHY BLUE NORTH CAROLINA,6,6,1.0,1110.0,185.0
99310,HEALTHY BLUE NORTH CAROLINA,1,1,1.0,270.0,270.0
99308,HEALTHY BLUE NORTH CAROLINA,1,1,1.0,140.0,140.0
99309,HORIZON BLUE SHIELD OF NEW JERSEY,7,7,1.0,1295.0,185.0
99308,HORIZON BLUE SHIELD OF NEW JERSEY,6,6,1.0,840.0,140.0
99306,HORIZON BLUE SHIELD OF NEW JERSEY,1,1,1.0,330.0,330.0
99309,HUMANA,1185,1185,1.0,219225.0,185.0
99308,HUMANA,430,430,1.0,60200.0,140.0
99310,HUMANA,162,162,1.0,43740.0,270.0
99306,HUMANA,103,103,1.0,33990.0,330.0
99316,HUMANA,26,26,1.0,5460.0,210.0
99497,HUMANA,22,22,1.0,3630.0,165.0
99315,HUMANA,16,16,1.0,2320.0,145.0
99349,HUMANA,11,11,1.0,2805.0,255.0
99305,HUMANA,10,10,1.0,2600.0,260.0
99307,HUMANA,6,6,1.0,540.0,90.0
99348,HUMANA,3,3,1.0,510.0,170.0
99350,HUMANA,2,2,1.0,710.0,355.0
G8510,HUMANA,2,2,1.0,0.02,0.01
99498,HUMANA,1,1,1.0,145.0,145.0
99358,HUMANA,1,1,1.0,209.68,209.68
G8752,HUMANA,1,1,1.0,0.01,0.01
G8754,HUMANA,1,1,1.0,0.01,0.01
G0317,HUMANA,1,1,1.0,65.0,65.0
99348,IDEALIFE MEDICARE SUPP - PAPER,1,1,1.0,170.0,170.0
99350,IDEALIFE MEDICARE SUPP - PAPER,1,1,1.0,355.0,355.0
99309,ILLUMIFIN CORPORATION,11,11,1.0,2035.0,185.0
99308,ILLUMIFIN CORPORATION,3,3,1.0,420.0,140.0
99310,ILLUMIFIN CORPORATION,3,3,1.0,810.0,270.0
99349,ILLUMIFIN CORPORATION,1,1,1.0,255.0,255.0
99306,ILLUMIFIN CORPORATION,1,1,1.0,330.0,330.0
99316,ILLUMIFIN CORPORATION,1,1,1.0,210.0,210.0
99315,ILLUMIFIN CORPORATION,1,1,1.0,145.0,145.0
99309,INDIANA BLUE SHIELD,15,15,1.0,2775.0,185.0
99308,INDIANA BLUE SHIELD,2,2,1.0,280.0,140.0
99309,INDIANA MEDICAID,1,1,1.0,185.0,185.0
99310,KAISER PERMANENTE OF S CA REGION,1,1,1.0,270.0,270.0
99309,LIFEWORKS ADVANTAGE (ISNP PLAN),135,135,1.0,24975.0,185.0
99308,LIFEWORKS ADVANTAGE (ISNP PLAN),80,80,1.0,11200.0,140.0
99310,LIFEWORKS ADVANTAGE (ISNP PLAN),2,2,1.0,540.0,270.0
99497,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,165.0,165.0
99407,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,60.0,60.0
99306,LIFEWORKS ADVANTAGE (ISNP PLAN),1,1,1.0,330.0,330.0
99309,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,4,4,1.0,578.38,144.6
99308,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,1,1,1.0,140.0,140.0
99309,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,81,81,1.0,14985.0,185.0
99308,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,24,24,1.0,3360.0,140.0
99310,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,8,8,1.0,2160.0,270.0
99306,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,6,6,1.0,1980.0,330.0
99316,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,2,2,1.0,420.0,210.0
99349,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,255.0,255.0
99305,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,260.0,260.0
G8754,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
G8510,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
99497,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,165.0,165.0
G8752,LOYAL AMERICAN LIFE INSURANCE/MEDICARE SUPPLEMENT,1,1,1.0,0.01,0.01
99309,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,36,36,1.0,6660.0,185.0
99308,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,23,23,1.0,3220.0,140.0
99310,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,3,3,1.0,810.0,270.0
99306,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,330.0,330.0
99497,MAGELLAN COMPLETE CARE OF VIRGINIA MEDICARE,1,1,1.0,165.0,165.0
99309,MAGELLAN HEALTH SERVICES (MAGELLAN BEHAVIORAL HLTH,1,1,1.0,185.0,185.0
99309,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,16,16,1.0,2960.0,185.0
99350,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,355.0,355.0
99306,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,330.0,330.0
99310,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,270.0,270.0
99349,MANHATTANLIFE INSURANCE & ANNUITY COMPANY,1,1,1.0,255.0,255.0
99309,MEDICO INSURANCE COMPANY,26,26,1.0,4810.0,185.0
99308,MEDICO INSURANCE COMPANY,19,19,1.0,2660.0,140.0
99350,MEDICO INSURANCE COMPANY,1,1,1.0,355.0,355.0
99349,MEDICO INSURANCE COMPANY,1,1,1.0,255.0,255.0
99316,MEDICO INSURANCE COMPANY,1,1,1.0,210.0,210.0
99348,MEDICO INSURANCE COMPANY,1,1,1.0,170.0,170.0
99309,MERIDIAN PACE SOLUTIONS,34,34,1.0,6290.0,185.0
99308,MERIDIAN PACE SOLUTIONS,18,18,1.0,2520.0,140.0
99310,MERIDIAN PACE SOLUTIONS,4,4,1.0,1080.0,270.0
99309,MOLINA COMPLETE CARE OF VIRGINIA,85,85,1.0,15725.0,185.0
99308,MOLINA COMPLETE CARE OF VIRGINIA,41,41,1.0,5740.0,140.0
99310,MOLINA COMPLETE CARE OF VIRGINIA,6,6,1.0,1620.0,270.0
99306,MOLINA COMPLETE CARE OF VIRGINIA,5,5,1.0,1650.0,330.0
99307,MOLINA COMPLETE CARE OF VIRGINIA,5,5,1.0,450.0,90.0
99305,MOLINA COMPLETE CARE OF VIRGINIA,3,3,1.0,780.0,260.0
99497,MOLINA COMPLETE CARE OF VIRGINIA,1,1,1.0,165.0,165.0
99309,MUTUAL OF OMAHA,233,233,1.0,43105.0,185.0
99308,MUTUAL OF OMAHA,71,71,1.0,9940.0,140.0
99310,MUTUAL OF OMAHA,18,18,1.0,4860.0,270.0
99306,MUTUAL OF OMAHA,11,11,1.0,3630.0,330.0
99349,MUTUAL OF OMAHA,8,8,1.0,2040.0,255.0
99350,MUTUAL OF OMAHA,3,3,1.0,1065.0,355.0
99305,MUTUAL OF OMAHA,3,3,1.0,780.0,260.0
99348,MUTUAL OF OMAHA,2,2,1.0,340.0,170.0
99315,MUTUAL OF OMAHA,2,2,1.0,290.0,145.0
99316,MUTUAL OF OMAHA,1,1,1.0,210.0,210.0
99497,MUTUAL OF OMAHA,1,1,1.0,165.0,165.0
99309,NATIONAL ASSOCIATION OF LETTER CARRIERS,6,6,1.0,1110.0,185.0
99316,NATIONAL ASSOCIATION OF LETTER CARRIERS,1,1,1.0,210.0,210.0
99309,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),7,7,1.0,1295.0,185.0
G8510,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,0.01,0.01
99316,NATIONAL ELEVATOR INDUSTRY BENEFIT PLAN (NEIB),1,1,1.0,210.0,210.0
99309,NEW YORK BLUE SHIELD  CENTRAL REGION,2,2,1.0,370.0,185.0
99309,NF-STATE FARM & PI ONLY,28,28,1.0,5180.0,185.0
99308,NF-STATE FARM & PI ONLY,6,6,1.0,840.0,140.0
99349,NF-STATE FARM & PI ONLY,1,1,1.0,255.0,255.0
99310,NF-STATE FARM & PI ONLY,1,1,1.0,270.0,270.0
99497,NF-STATE FARM & PI ONLY,1,1,1.0,165.0,165.0
99309,NORTH CAROLINA BLUE SHIELD,342,344,1.01,63640.0,186.08
99310,NORTH CAROLINA BLUE SHIELD,41,43,1.05,11610.0,283.17
99308,NORTH CAROLINA BLUE SHIELD,37,37,1.0,5180.0,140.0
99306,NORTH CAROLINA BLUE SHIELD,15,16,1.07,5280.0,352.0
99316,NORTH CAROLINA BLUE SHIELD,8,8,1.0,1680.0,210.0
99497,NORTH CAROLINA BLUE SHIELD,2,2,1.0,330.0,165.0
99315,NORTH CAROLINA BLUE SHIELD,1,1,1.0,145.0,145.0
99309,NORTH CAROLINA MEDICAID,667,667,1.0,123395.0,185.0
99308,NORTH CAROLINA MEDICAID,105,105,1.0,14700.0,140.0
99310,NORTH CAROLINA MEDICAID,62,62,1.0,16740.0,270.0
99306,NORTH CAROLINA MEDICAID,11,11,1.0,3630.0,330.0
99316,NORTH CAROLINA MEDICAID,6,6,1.0,1260.0,210.0
99497,NORTH CAROLINA MEDICAID,2,2,1.0,330.0,165.0
99315,NORTH CAROLINA MEDICAID,2,2,1.0,290.0,145.0
99309,NORTH CAROLINA MEDICARE,1376,1376,1.0,254560.0,185.0
99308,NORTH CAROLINA MEDICARE,193,193,1.0,27020.0,140.0
99310,NORTH CAROLINA MEDICARE,164,164,1.0,44280.0,270.0
99306,NORTH CAROLINA MEDICARE,35,35,1.0,11550.0,330.0
99316,NORTH CAROLINA MEDICARE,27,27,1.0,5670.0,210.0
99497,NORTH CAROLINA MEDICARE,27,27,1.0,4455.0,165.0
99315,NORTH CAROLINA MEDICARE,7,7,1.0,1015.0,145.0
99305,NORTH CAROLINA MEDICARE,4,4,1.0,1040.0,260.0
G0438,NORTH CAROLINA MEDICARE,1,1,1.0,340.0,340.0
99307,NORTH CAROLINA MEDICARE,1,1,1.0,90.0,90.0
99304,NORTH CAROLINA MEDICARE,1,1,1.0,180.0,180.0
99309,OHIO BLUE SHIELD,12,12,1.0,2220.0,185.0
99308,OHIO BLUE SHIELD,4,4,1.0,560.0,140.0
99310,OHIO BLUE SHIELD,2,2,1.0,540.0,270.0
99305,OHIO BLUE SHIELD,1,1,1.0,260.0,260.0
99316,OHIO BLUE SHIELD,1,1,1.0,210.0,210.0
99309,OPTIMA FAMILY CARE,127,128,1.01,23680.0,186.46
99308,OPTIMA FAMILY CARE,68,68,1.0,9520.0,140.0
99307,OPTIMA FAMILY CARE,5,5,1.0,450.0,90.0
99310,OPTIMA FAMILY CARE,5,5,1.0,1350.0,270.0
99306,OPTIMA FAMILY CARE,2,2,1.0,660.0,330.0
99305,OPTIMA FAMILY CARE,1,1,1.0,260.0,260.0
99309,OPTIMA HEALTH PLANS,255,257,1.01,47545.0,186.45
99308,OPTIMA HEALTH PLANS,128,128,1.0,17920.0,140.0
99310,OPTIMA HEALTH PLANS,19,19,1.0,5130.0,270.0
99306,OPTIMA HEALTH PLANS,12,12,1.0,3960.0,330.0
99497,OPTIMA HEALTH PLANS,3,3,1.0,495.0,165.0
99305,OPTIMA HEALTH PLANS,3,3,1.0,780.0,260.0
99307,OPTIMA HEALTH PLANS,2,2,1.0,180.0,90.0
99348,OPTIMA HEALTH PLANS,1,1,1.0,170.0,170.0
99349,OPTIMA HEALTH PLANS,1,1,1.0,255.0,255.0
99358,OPTIMA HEALTH PLANS,1,1,1.0,209.68,209.68
G8510,OPTIMA HEALTH PLANS,1,1,1.0,0.01,0.01
99315,OPTIMA HEALTH PLANS,1,1,1.0,145.0,145.0
99309,OPTUMCARE,3,3,1.0,555.0,185.0
99308,PEKIN INSURANCE,2,2,1.0,280.0,140.0
99309,PEKIN INSURANCE,1,1,1.0,185.0,185.0
99309,PRINCIPAL LIFE MEDICARE SUPPLEMENT,5,5,1.0,925.0,185.0
99308,PRINCIPAL LIFE MEDICARE SUPPLEMENT,1,1,1.0,140.0,140.0
99309,RETIRED RAILROAD MEDICARE,65,65,1.0,12025.0,185.0
99308,RETIRED RAILROAD MEDICARE,9,9,1.0,1260.0,140.0
99310,RETIRED RAILROAD MEDICARE,5,5,1.0,1350.0,270.0
99306,RETIRED RAILROAD MEDICARE,1,1,1.0,330.0,330.0
99309,SAMBA,2,2,1.0,370.0,185.0
99309,SEAFARERS & HEALTH BENEFITS PLAN,5,5,1.0,925.0,185.0
99310,SEAFARERS & HEALTH BENEFITS PLAN,1,1,1.0,270.0,270.0
99309,SENTARA HEALTH MANAGEMENT,214,214,1.0,39590.0,185.0
99308,SENTARA HEALTH MANAGEMENT,124,124,1.0,17360.0,140.0
99310,SENTARA HEALTH MANAGEMENT,20,20,1.0,5400.0,270.0
99306,SENTARA HEALTH MANAGEMENT,14,14,1.0,4620.0,330.0
99305,SENTARA HEALTH MANAGEMENT,3,3,1.0,780.0,260.0
99307,SENTARA HEALTH MANAGEMENT,2,2,1.0,180.0,90.0
99316,SENTARA HEALTH MANAGEMENT,1,1,1.0,210.0,210.0
99350,SENTARA HEALTH MANAGEMENT,1,1,1.0,355.0,355.0
99309,SILAC INSURANCE,22,22,1.0,4070.0,185.0
99308,SILAC INSURANCE,6,6,1.0,840.0,140.0
99316,SILAC INSURANCE,1,1,1.0,210.0,210.0
99309,SOUTH CAROLINA BLUE SHIELD,1,1,1.0,185.0,185.0
99309,STANDARD LIFE AND ACCIDENT INS CO-SECONDARY CLAIMS,5,5,1.0,925.0,185.0
99309,TENNCARE SELECT,2,2,1.0,370.0,185.0
99308,TENNCARE SELECT,1,1,1.0,140.0,140.0
99350,TENNESSEE BLUE SHIELD,1,1,1.0,355.0,355.0
99309,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,10,10,1.0,1850.0,185.0
99310,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,1,1,1.0,270.0,270.0
99308,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,1,1,1.0,140.0,140.0
99316,TRANSAMERICA LIFE INSURANCE COMPANY W PLANO PRKWY,1,1,1.0,210.0,210.0
99309,TRICARE FOR LIFE,162,162,1.0,29970.0,185.0
99308,TRICARE FOR LIFE,40,40,1.0,5600.0,140.0
99310,TRICARE FOR LIFE,22,22,1.0,5940.0,270.0
99306,TRICARE FOR LIFE,7,7,1.0,2310.0,330.0
99497,TRICARE FOR LIFE,6,6,1.0,990.0,165.0
99316,TRICARE FOR LIFE,6,6,1.0,1260.0,210.0
99349,TRICARE FOR LIFE,5,5,1.0,1275.0,255.0
90471,TRICARE FOR LIFE,5,5,1.0,175.0,35.0
99315,TRICARE FOR LIFE,4,4,1.0,580.0,145.0
99305,TRICARE FOR LIFE,4,4,1.0,1040.0,260.0
99350,TRICARE FOR LIFE,3,3,1.0,1065.0,355.0
G8510,TRICARE FOR LIFE,3,3,1.0,0.03,0.01
99348,TRICARE FOR LIFE,2,2,1.0,340.0,170.0
99309,TRILLIUM HEALTH RESOURCES,2,2,1.0,370.0,185.0
99310,UB-BANKERS LIFE AND CASUALTY,2,2,1.0,540.0,270.0
99306,UB-BANKERS LIFE AND CASUALTY,2,2,1.0,660.0,330.0
99308,UB-BANKERS LIFE AND CASUALTY,1,1,1.0,140.0,140.0
99309,UB-BANKERS LIFE AND CASUALTY,1,1,1.0,185.0,185.0
99309,UMR FKA UMR WAUSAU,21,21,1.0,3885.0,185.0
99308,UMR FKA UMR WAUSAU,4,4,1.0,560.0,140.0
99306,UMR FKA UMR WAUSAU,2,2,1.0,660.0,330.0
99310,UMR FKA UMR WAUSAU,2,2,1.0,540.0,270.0
99497,UMR FKA UMR WAUSAU,1,1,1.0,165.0,165.0
G8510,UMR FKA UMR WAUSAU,1,1,1.0,0.01,0.01
99309,UMWA HEALTH AND RETIREMENT FUNDS,7,7,1.0,1295.0,185.0
99308,UMWA HEALTH AND RETIREMENT FUNDS,3,3,1.0,420.0,140.0
99350,UMWA HEALTH AND RETIREMENT FUNDS,1,1,1.0,355.0,355.0
99309,UNIFIED LIFE INSURANCE COMPANY,1,1,1.0,185.0,185.0
99308,UNIFIED LIFE INSURANCE COMPANY,1,1,1.0,140.0,140.0
99308,UNITED AMERICAN INSURANCE COMPANY,4,4,1.0,560.0,140.0
