facility_name,payer_type,insurance_billed_amount,encounters_billed,units_billed,units_per_encounter,billed_per_encounter
CHASE CITY HEALTH & REHAB CENTER,COMMERCIAL_HMO,65920.0,311,369,1.19,211.96
CHASE CITY HEALTH & REHAB CENTER,MEDICAID,5875.0,30,30,1.0,195.83
CHASE CITY HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,21945.0,121,122,1.01,181.36
CHASE CITY HEALTH & REHAB CENTER,MEDICARE,40775.0,223,224,1.0,182.85
CHASE CITY HEALTH & REHAB CENTER,TRICARE_CHAMPUS,1135.0,6,6,1.0,189.17
CHASE CITY HEALTH & REHAB CENTER,WORKERS_COMPENSATION,1255.0,6,6,1.0,209.17
Clayton Rehab and Healthcare Center,COMMERCIAL_HMO,43475.0,240,241,1.0,181.15
Clayton Rehab and Healthcare Center,MEDICAID,10215.0,57,57,1.0,179.21
Clayton Rehab and Healthcare Center,BLUE_CROSS_BLUE_SHIELD,3795.0,21,22,1.05,180.71
Clayton Rehab and Healthcare Center,MEDICARE,26650.0,147,148,1.01,181.29
COURTLAND REHAB AND HEALTHCARE,COMMERCIAL_HMO,35985.0,152,186,1.22,236.74
COURTLAND REHAB AND HEALTHCARE,MEDICAID,6755.0,41,41,1.0,164.76
COURTLAND REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,12235.0,65,65,1.0,188.23
COURTLAND REHAB AND HEALTHCARE,MEDICARE,23415.0,134,135,1.01,174.74
DEER MEADOWS REHABILITATION,COMMERCIAL_HMO,42995.0,202,229,1.13,212.85
DEER MEADOWS REHABILITATION,MEDICAID,8265.0,43,43,1.0,192.21
DEER MEADOWS REHABILITATION,BLUE_CROSS_BLUE_SHIELD,10795.0,55,55,1.0,196.27
DEER MEADOWS REHABILITATION,MEDICARE,26090.0,138,138,1.0,189.06
DEER MEADOWS REHABILITATION,TRICARE_CHAMPUS,2360.0,13,13,1.0,181.54
ELIZABETH CITY HEALTH AND REHAB,COMMERCIAL_HMO,61830.0,301,315,1.05,205.42
ELIZABETH CITY HEALTH AND REHAB,MEDICAID,16620.0,81,85,1.05,205.19
ELIZABETH CITY HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,22080.0,110,114,1.04,200.73
ELIZABETH CITY HEALTH AND REHAB,MEDICARE,87375.0,426,449,1.05,205.11
ELIZABETH CITY HEALTH AND REHAB,SELF_PAY,1875.0,10,10,1.0,187.5
EMPORIA REHAB AND HEALTHCARE,COMMERCIAL_HMO,24185.0,107,122,1.14,226.03
EMPORIA REHAB AND HEALTHCARE,MEDICAID,5725.0,30,30,1.0,190.83
EMPORIA REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,8340.0,42,42,1.0,198.57
EMPORIA REHAB AND HEALTHCARE,MEDICARE,15215.0,78,78,1.0,195.06
GATES-ALF,COMMERCIAL_HMO,510.0,2,2,1.0,255.0
GATES-ALF,MEDICAID,255.0,1,1,1.0,255.0
GATES HEALTH AND REHAB,COMMERCIAL_HMO,6515.0,32,32,1.0,203.59
GATES HEALTH AND REHAB,MEDICAID,1850.0,10,10,1.0,185.0
GATES HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,370.0,2,2,1.0,185.0
GATES HEALTH AND REHAB,MEDICARE,3400.0,17,17,1.0,200.0
GUGGENHEIMER HEALTH AND REHAB,COMMERCIAL_HMO,270.0,1,1,1.0,270.0
GUILFORD HEALTH CARE CENTER,COMMERCIAL_HMO,86115.0,441,441,1.0,195.27
GUILFORD HEALTH CARE CENTER,MEDICAID,13450.0,74,74,1.0,181.76
GUILFORD HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,15790.0,78,78,1.0,202.44
GUILFORD HEALTH CARE CENTER,MEDICARE,31260.0,162,162,1.0,192.96
GUILFORD HEALTH CARE CENTER,TRICARE_CHAMPUS,1620.0,9,9,1.0,180.0
GUILFORD HEALTH CARE CENTER,WORKERS_COMPENSATION,1290.0,7,7,1.0,184.29
HARMONY PARK AT WILSON,COMMERCIAL_HMO,44725.0,252,253,1.0,177.48
HARMONY PARK AT WILSON,MEDICAID,16520.0,95,95,1.0,173.89
HARMONY PARK AT WILSON,BLUE_CROSS_BLUE_SHIELD,4410.0,23,23,1.0,191.74
HARMONY PARK AT WILSON,MEDICARE,12340.0,69,69,1.0,178.84
HARMONY PARK AT WILSON,TRICARE_CHAMPUS,270.0,1,1,1.0,270.0
HERITAGE GREEN,COMMERCIAL_HMO,7005.0,32,34,1.06,218.91
HERITAGE GREEN,BLUE_CROSS_BLUE_SHIELD,4445.0,20,21,1.05,222.25
HERITAGE GREEN,MEDICARE,9795.0,45,49,1.09,217.67
HERITAGE GREEN,WORKERS_COMPENSATION,255.0,1,1,1.0,255.0
HERITAGE HALL OF BLACKSBURG,COMMERCIAL_HMO,19230.0,85,101,1.19,226.24
HERITAGE HALL OF BLACKSBURG,MEDICAID,1790.0,9,9,1.0,198.89
HERITAGE HALL OF BLACKSBURG,BLUE_CROSS_BLUE_SHIELD,4200.0,19,19,1.0,221.05
HERITAGE HALL OF BLACKSBURG,MEDICARE,13670.0,70,70,1.0,195.29
HERTFORD REHABILITATION AND HC,COMMERCIAL_HMO,23980.0,126,126,1.0,190.32
HERTFORD REHABILITATION AND HC,MEDICAID,11930.0,62,62,1.0,192.42
HERTFORD REHABILITATION AND HC,BLUE_CROSS_BLUE_SHIELD,270.0,1,1,1.0,270.0
HERTFORD REHABILITATION AND HC,MEDICARE,8355.0,42,44,1.05,198.93
HIGHLAND RIDGE REHAB,COMMERCIAL_HMO,83490.0,400,451,1.13,208.73
HIGHLAND RIDGE REHAB,MEDICAID,5375.0,29,29,1.0,185.34
HIGHLAND RIDGE REHAB,BLUE_CROSS_BLUE_SHIELD,31070.0,159,164,1.03,195.41
HIGHLAND RIDGE REHAB,MEDICARE,41120.0,216,218,1.01,190.37
HOLLY MANOR,COMMERCIAL_HMO,78005.0,308,413,1.34,253.26
HOLLY MANOR,MEDICAID,4415.0,24,24,1.0,183.96
HOLLY MANOR,BLUE_CROSS_BLUE_SHIELD,31650.0,157,157,1.0,201.59
HOLLY MANOR,MEDICARE,46745.0,239,239,1.0,195.59
HOLLY MANOR,TRICARE_CHAMPUS,3080.0,16,16,1.0,192.5
KENANSVILLE REHAB AND HEALTHCARE,COMMERCIAL_HMO,13015.0,75,75,1.0,173.53
KENANSVILLE REHAB AND HEALTHCARE,MEDICAID,11945.0,70,70,1.0,170.64
KENANSVILLE REHAB AND HEALTHCARE,BLUE_CROSS_BLUE_SHIELD,465.0,3,3,1.0,155.0
KENANSVILLE REHAB AND HEALTHCARE,MEDICARE,9020.0,54,54,1.0,167.04
LAUREL PARK REHAB,COMMERCIAL_HMO,8460.0,42,44,1.05,201.43
LAUREL PARK REHAB,MEDICAID,8450.0,47,47,1.0,179.79
LAUREL PARK REHAB,BLUE_CROSS_BLUE_SHIELD,1945.0,11,11,1.0,176.82
LAUREL PARK REHAB,MEDICARE,12135.0,66,66,1.0,183.86
LEXINGTON HEALTH CARE CENTER,COMMERCIAL_HMO,104865.0,531,531,1.0,197.49
LEXINGTON HEALTH CARE CENTER,MEDICAID,12945.0,68,68,1.0,190.37
LEXINGTON HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,17900.0,86,86,1.0,208.14
LEXINGTON HEALTH CARE CENTER,MEDICARE,28150.0,148,148,1.0,190.2
LEXINGTON HEALTH CARE CENTER,TRICARE_CHAMPUS,2290.0,11,11,1.0,208.18
LIFE CARE CENTER OF NEW MARKET,COMMERCIAL_HMO,84760.44,425,488,1.15,199.44
LIFE CARE CENTER OF NEW MARKET,MEDICAID,1900.02,11,13,1.18,172.73
LIFE CARE CENTER OF NEW MARKET,BLUE_CROSS_BLUE_SHIELD,25645.09,130,145,1.12,197.27
LIFE CARE CENTER OF NEW MARKET,MEDICARE,78785.41,406,451,1.11,194.05
LIFE CARE CENTER OF NEW MARKET,WORKERS_COMPENSATION,395.0,2,2,1.0,197.5
MOUNTAIN LAUREL,COMMERCIAL_HMO,54530.0,242,306,1.26,225.33
MOUNTAIN LAUREL,MEDICAID,4080.0,24,24,1.0,170.0
MOUNTAIN LAUREL,BLUE_CROSS_BLUE_SHIELD,7990.0,44,44,1.0,181.59
MOUNTAIN LAUREL,MEDICARE,10220.0,57,57,1.0,179.3
NORTHERN NECK-ALF,COMMERCIAL_HMO,780.0,3,3,1.0,260.0
NORTHERN NECK-ALF,BLUE_CROSS_BLUE_SHIELD,355.0,1,1,1.0,355.0
NORTHERN NECK-ALF,MEDICARE,710.0,2,2,1.0,355.0
NORTHERN NECK SENIOR CARE COMMUNITY,COMMERCIAL_HMO,26630.0,111,118,1.06,239.91
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICAID,3560.0,17,17,1.0,209.41
NORTHERN NECK SENIOR CARE COMMUNITY,BLUE_CROSS_BLUE_SHIELD,19365.0,89,89,1.0,217.58
NORTHERN NECK SENIOR CARE COMMUNITY,MEDICARE,39870.0,187,187,1.0,213.21
NORTHERN NECK SENIOR CARE COMMUNITY,TRICARE_CHAMPUS,1380.0,7,7,1.0,197.14
NOVA HEALTH AND REHAB CENTER,COMMERCIAL_HMO,6510.0,30,35,1.17,217.0
NOVA HEALTH AND REHAB CENTER,MEDICARE,885.0,4,4,1.0,221.25
OAKWOOD MANOR,COMMERCIAL_HMO,61430.01,288,350,1.22,213.3
OAKWOOD MANOR,MEDICAID,2295.0,12,12,1.0,191.25
OAKWOOD MANOR,BLUE_CROSS_BLUE_SHIELD,17165.0,90,91,1.01,190.72
OAKWOOD MANOR,MEDICARE,43280.01,244,245,1.0,177.38
PEAK RESOURCES OUTER BANKS,COMMERCIAL_HMO,39320.0,177,191,1.08,222.15
PEAK RESOURCES OUTER BANKS,MEDICAID,9560.0,49,50,1.02,195.1
PEAK RESOURCES OUTER BANKS,BLUE_CROSS_BLUE_SHIELD,21305.0,97,104,1.07,219.64
PEAK RESOURCES OUTER BANKS,MEDICARE,64065.0,295,314,1.06,217.17
Piedmont Health and Rehab,COMMERCIAL_HMO,29370.0,154,155,1.01,190.71
Piedmont Health and Rehab,MEDICAID,4040.0,19,19,1.0,212.63
Piedmont Health and Rehab,BLUE_CROSS_BLUE_SHIELD,1990.0,10,10,1.0,199.0
Piedmont Health and Rehab,MEDICARE,15230.0,76,76,1.0,200.39
PINEY FOREST HEALTH AND REHAB,COMMERCIAL_HMO,76730.0,344,418,1.22,223.05
PINEY FOREST HEALTH AND REHAB,MEDICAID,4215.0,21,21,1.0,200.71
PINEY FOREST HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,14895.0,68,77,1.13,219.04
PINEY FOREST HEALTH AND REHAB,MEDICARE,11110.0,58,58,1.0,191.55
PULASKI HEALTH & REHAB,COMMERCIAL_HMO,76610.0,387,420,1.09,197.96
PULASKI HEALTH & REHAB,MEDICAID,5150.0,28,28,1.0,183.93
PULASKI HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,49590.0,258,262,1.02,192.21
PULASKI HEALTH & REHAB,MEDICARE,85660.0,453,462,1.02,189.09
PULASKI HEALTH & REHAB,TRICARE_CHAMPUS,695.0,4,4,1.0,173.75
RADFORD HEALTH & REHAB,COMMERCIAL_HMO,45525.0,241,271,1.12,188.9
RADFORD HEALTH & REHAB,MEDICAID,280.0,2,2,1.0,140.0
RADFORD HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,31905.0,185,185,1.0,172.46
RADFORD HEALTH & REHAB,MEDICARE,47770.0,283,283,1.0,168.8
RADFORD HEALTH & REHAB,TRICARE_CHAMPUS,2700.0,16,16,1.0,168.75
RIDGECREST MANOR NURSING AND REHAB,COMMERCIAL_HMO,103380.0,540,615,1.14,191.44
RIDGECREST MANOR NURSING AND REHAB,MEDICAID,8095.0,50,50,1.0,161.9
RIDGECREST MANOR NURSING AND REHAB,BLUE_CROSS_BLUE_SHIELD,820.0,5,5,1.0,164.0
RIDGECREST MANOR NURSING AND REHAB,MEDICARE,15980.0,97,97,1.0,164.74
RIVERSIDE HEALTH AND REHAB,COMMERCIAL_HMO,62220.0,296,347,1.17,210.2
RIVERSIDE HEALTH AND REHAB,MEDICAID,8065.0,43,43,1.0,187.56
RIVERSIDE HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,16660.0,91,91,1.0,183.08
RIVERSIDE HEALTH AND REHAB,MEDICARE,41500.0,227,227,1.0,182.82
RIVERSIDE HEALTH AND REHAB,WORKERS_COMPENSATION,1355.0,8,8,1.0,169.38
RUNK AND PRATT AT WILLOW RIDGE,COMMERCIAL_HMO,2440.0,8,8,1.0,305.0
RUNK AND PRATT AT WILLOW RIDGE,BLUE_CROSS_BLUE_SHIELD,1530.0,6,6,1.0,255.0
RUNK AND PRATT AT WILLOW RIDGE,MEDICARE,3360.0,12,12,1.0,280.0
RUNK & PRATT- FOREST,COMMERCIAL_HMO,3420.0,17,17,1.0,201.18
RUNK & PRATT- FOREST,MEDICAID,255.0,1,1,1.0,255.0
RUNK & PRATT- FOREST,BLUE_CROSS_BLUE_SHIELD,765.0,3,3,1.0,255.0
RUNK & PRATT- FOREST,MEDICARE,3725.0,18,18,1.0,206.94
RUNK & PRATT- FOREST,TRICARE_CHAMPUS,510.0,2,2,1.0,255.0
RUNK & PRATT-LEESVILLE,COMMERCIAL_HMO,4095.0,14,16,1.14,292.5
RUNK & PRATT-LEESVILLE,MEDICARE,1530.0,6,6,1.0,255.0
RUNK & PRATT- LIBERTY RIDGE,COMMERCIAL_HMO,4780.0,18,18,1.0,265.56
RUNK & PRATT- LIBERTY RIDGE,BLUE_CROSS_BLUE_SHIELD,4375.0,14,15,1.07,312.5
RUNK & PRATT- LIBERTY RIDGE,MEDICARE,9010.0,29,29,1.0,310.69
RUNK & PRATT- PEARL OF LIFE,COMMERCIAL_HMO,5655.0,26,26,1.0,217.5
RUNK & PRATT- PEARL OF LIFE,BLUE_CROSS_BLUE_SHIELD,1785.0,9,9,1.0,198.33
RUNK & PRATT- PEARL OF LIFE,MEDICARE,5540.0,26,26,1.0,213.08
RUNK & PRATT- SMITH MOUNTAIN LAKE,COMMERCIAL_HMO,7665.0,26,27,1.04,294.81
RUNK & PRATT- SMITH MOUNTAIN LAKE,BLUE_CROSS_BLUE_SHIELD,3475.0,12,12,1.0,289.58
RUNK & PRATT- SMITH MOUNTAIN LAKE,MEDICARE,8645.0,31,31,1.0,278.87
SALEM HEALTH & REHAB,COMMERCIAL_HMO,163795.0,716,894,1.25,228.76
SALEM HEALTH & REHAB,MEDICAID,14860.0,79,79,1.0,188.1
SALEM HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,35760.0,189,192,1.02,189.21
SALEM HEALTH & REHAB,MEDICARE,54325.0,296,296,1.0,183.53
SHENANDOAH VALLEY HEALTH,COMMERCIAL_HMO,30185.0,145,171,1.18,208.17
SHENANDOAH VALLEY HEALTH,BLUE_CROSS_BLUE_SHIELD,6305.0,35,35,1.0,180.14
SHENANDOAH VALLEY HEALTH,MEDICARE,10930.0,61,61,1.0,179.18
STANLEYTOWN HEALTH AND REHAB,COMMERCIAL_HMO,119390.0,479,628,1.31,249.25
STANLEYTOWN HEALTH AND REHAB,MEDICAID,3495.0,17,17,1.0,205.59
STANLEYTOWN HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,30280.0,164,166,1.01,184.63
STANLEYTOWN HEALTH AND REHAB,MEDICARE,56025.0,293,300,1.02,191.21
STANLEYTOWN HEALTH AND REHAB,TRICARE_CHAMPUS,1870.0,10,10,1.0,187.0
SUMMIT HEALTH AND REHAB,COMMERCIAL_HMO,180490.0,843,954,1.13,214.1
SUMMIT HEALTH AND REHAB,MEDICAID,2120.0,11,11,1.0,192.73
SUMMIT HEALTH AND REHAB,BLUE_CROSS_BLUE_SHIELD,73050.0,350,388,1.11,208.71
SUMMIT HEALTH AND REHAB,MEDICARE,160085.0,851,851,1.0,188.11
SUMMIT HEALTH AND REHAB,TRICARE_CHAMPUS,2930.0,15,15,1.0,195.33
THREE RIVERS HEALTH & REHAB CENTER,COMMERCIAL_HMO,13930.0,60,65,1.08,232.17
THREE RIVERS HEALTH & REHAB CENTER,MEDICAID,1935.0,10,10,1.0,193.5
THREE RIVERS HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,12675.0,63,63,1.0,201.19
THREE RIVERS HEALTH & REHAB CENTER,MEDICARE,23605.0,115,115,1.0,205.26
VALLEY HEALTH CARE CENTER,COMMERCIAL_HMO,100600.0,451,551,1.22,223.06
VALLEY HEALTH CARE CENTER,MEDICAID,9450.0,53,53,1.0,178.3
VALLEY HEALTH CARE CENTER,BLUE_CROSS_BLUE_SHIELD,9230.0,49,49,1.0,188.37
VALLEY HEALTH CARE CENTER,MEDICARE,43260.0,240,240,1.0,180.25
WATERVIEW HEALTH & REHAB CENTER,COMMERCIAL_HMO,72940.0,346,414,1.2,210.81
WATERVIEW HEALTH & REHAB CENTER,MEDICAID,7775.0,43,43,1.0,180.81
WATERVIEW HEALTH & REHAB CENTER,BLUE_CROSS_BLUE_SHIELD,18005.0,101,101,1.0,178.27
WATERVIEW HEALTH & REHAB CENTER,MEDICARE,41080.0,229,230,1.0,179.39
WAVERLY REHABILITATION,COMMERCIAL_HMO,10135.0,38,40,1.05,266.71
WAVERLY REHABILITATION,MEDICAID,2120.0,8,8,1.0,265.0
WAVERLY REHABILITATION,BLUE_CROSS_BLUE_SHIELD,5110.0,20,20,1.0,255.5
WAVERLY REHABILITATION,MEDICARE,6210.0,24,24,1.0,258.75
WESTMORELAND HEALTHCARE CENTER,COMMERCIAL_HMO,30755.0,160,171,1.07,192.22
WESTMORELAND HEALTHCARE CENTER,MEDICAID,3650.0,20,20,1.0,182.5
WESTMORELAND HEALTHCARE CENTER,BLUE_CROSS_BLUE_SHIELD,20135.0,112,112,1.0,179.78
WESTMORELAND HEALTHCARE CENTER,MEDICARE,46445.0,262,262,1.0,177.27
WILSON HEALTHCARE AND REHAB,COMMERCIAL_HMO,34695.0,196,196,1.0,177.02
WILSON HEALTHCARE AND REHAB,MEDICAID,5735.0,35,35,1.0,163.86
WILSON HEALTHCARE AND REHAB,BLUE_CROSS_BLUE_SHIELD,8065.0,46,46,1.0,175.33
WILSON HEALTHCARE AND REHAB,MEDICARE,16540.0,98,98,1.0,168.78
WINDSOR REHABILITATION,COMMERCIAL_HMO,19215.0,95,95,1.0,202.26
WINDSOR REHABILITATION,MEDICAID,24815.0,127,127,1.0,195.39
WINDSOR REHABILITATION,BLUE_CROSS_BLUE_SHIELD,1920.0,9,9,1.0,213.33
WINDSOR REHABILITATION,MEDICARE,22350.0,114,114,1.0,196.05
WOODLANDS HEALTH & REHAB,COMMERCIAL_HMO,21320.0,108,124,1.15,197.41
WOODLANDS HEALTH & REHAB,BLUE_CROSS_BLUE_SHIELD,3570.0,19,19,1.0,187.89
WOODLANDS HEALTH & REHAB,MEDICARE,6440.0,36,36,1.0,178.89
